[2025-02-04 20:08:39] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/pedidos/pendientes/pendientes?tipo=plato
[2025-02-04 20:08:40] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/pedidos/67a265ae6dfdb43eb3ba381f
[2025-02-04 20:08:41] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/pedidos/67a265ae6dfdb43eb3ba381f
[2025-02-04 20:08:52] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/pedidos/pendientes/pendientes?tipo=plato
[2025-02-04 20:09:01] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/pedidos/pendientes/pendientes?tipo=plato
[2025-02-04 20:09:18] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/pedidos/pedidos/estado/2
[2025-02-04 20:09:18] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/pedidos/pedidos/estado/2
[2025-02-04 20:09:18] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/valoraciones/mas-valorados
[2025-02-04 20:09:26] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/valoraciones/mas-valorados
[2025-02-04 20:10:09] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/valoraciones/mas-valorados
[2025-02-04 20:10:11] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/valoraciones/mas-valorados
[2025-02-04 20:10:20] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/valoraciones/mas-valorados
[2025-02-04 20:11:27] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/valoraciones/mas-valorados
[2025-02-04 20:12:00] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/valoraciones/mas-valorados
[2025-02-04 20:25:04] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/productos-valoraciones/productos-valoraciones
[2025-02-04 20:25:10] WARN: 🚨 IP bloqueada por exceso de solicitudes: ::ffff:172.20.10.7 | Endpoint: /api/valoraciones/valoraciones/mas-valorados
